[13:46:26.388] [INFO] [Subnautica.API] Loading Language: ru-RU, Path: C:\Users\TeMeR\AppData\Roaming\.botbenson\Subnautica Below Zero\App\Languages\ru-RU.json
[13:46:27.093] [INFO] [Subnautica.API] Loading Language: ru-RU, Path: C:\Users\TeMeR\AppData\Roaming\.botbenson\Subnautica Below Zero\App\Languages\ru-RU.json
[20:06:12.000] [INFO] [Subnautica.API] Loading Language: ru-RU, Path: C:\Users\TeMeR\AppData\Roaming\.botbenson\Subnautica Below Zero\App\Languages\ru-RU.json
[20:06:12.501] [INFO] [Subnautica.API] Loading Language: ru-RU, Path: C:\Users\TeMeR\AppData\Roaming\.botbenson\Subnautica Below Zero\App\Languages\ru-RU.json
[20:14:24.673] [INFO] [Subnautica.API] Loading Language: ru-RU, Path: C:\Users\TeMeR\AppData\Roaming\.botbenson\Subnautica Below Zero\App\Languages\ru-RU.json
[20:14:25.164] [INFO] [Subnautica.API] Loading Language: ru-RU, Path: C:\Users\TeMeR\AppData\Roaming\.botbenson\Subnautica Below Zero\App\Languages\ru-RU.json
[20:15:05.925] [INFO] [Subnautica.API] Loading Language: ru-RU, Path: C:\Users\TeMeR\AppData\Roaming\.botbenson\Subnautica Below Zero\App\Languages\ru-RU.json
[20:15:08.250] [INFO] [Subnautica.API] Loading Language: ru-RU, Path: C:\Users\TeMeR\AppData\Roaming\.botbenson\Subnautica Below Zero\App\Languages\ru-RU.json
[20:32:24.383] [INFO] [Subnautica.API] Loading Language: ru-RU, Path: C:\Users\TeMeR\AppData\Roaming\.botbenson\Subnautica Below Zero\App\Languages\ru-RU.json
[20:32:24.718] [INFO] [Subnautica.API] Loading Language: ru-RU, Path: C:\Users\TeMeR\AppData\Roaming\.botbenson\Subnautica Below Zero\App\Languages\ru-RU.json
