PC,Release,CL#95581
Condition,Value,Description
SpawnCount,TRUE,Spawn Count <= 6
FramerateMinimum,TRUE,Minimum Framerate > 25: num frames below: 6
FramerateAverage,TRUE,Average Framerate >= 24: current avg: 59.91
Checkpoint,FALSE,Checkpoint is present/functional
SpawnFailed,TRUE,Spawn Failed
SpawnFailedLOS,TRUE,Spawn Failed (LOS)
