PC,Release,CL#95581
Condition,Value,Description
SpawnCount,FALSE,Spawn Count <= 6
FramerateMinimum,FALSE,Minimum Framerate > 25: num frames below: 59
FramerateAverage,TRUE,Average Framerate >= 24: current avg: 60.00
Checkpoint,TRUE,Checkpoint is present/functional
SpawnFailed,FALSE,Spawn Failed
SpawnFailedLOS,TRUE,Spawn Failed (LOS)
