PC,Release,CL#95581
Condition,Value,Description
SpawnCount,TRUE,Spawn Count <= 6
FramerateMinimum,TRUE,Minimum Framerate > 25: num frames below: 7
FramerateAverage,TRUE,Average Framerate >= 24: current avg: 60.01
Checkpoint,FALSE,Checkpoint is present/functional
SpawnFailed,FALSE,Spawn Failed
SpawnFailedLOS,TRUE,Spawn Failed (LOS)
