PC,Release,CL#95581
Condition,Value,Description
SpawnCount,FALSE,Spawn Count <= 6
FramerateMinimum,FALSE,Minimum Framerate > 25: num frames below: 61
FramerateAverage,TRUE,Average Framerate >= 24: current avg: 59.99
Checkpoint,TRUE,Checkpoint is present/functional
SpawnFailed,TRUE,Spawn Failed
SpawnFailedLOS,FALSE,Spawn Failed (LOS)
