PC,Release,CL#95581
Condition,Value,Description
SpawnCount,TRUE,Spawn Count <= 6
FramerateMinimum,FALSE,Minimum Framerate > 25: num frames below: 35
FramerateAverage,TRUE,Average Framerate >= 24: current avg: 50.57
Checkpoint,TRUE,Checkpoint is present/functional
SpawnFailed,TRUE,Spawn Failed
SpawnFailedLOS,TRUE,Spawn Failed (LOS)
