PC,Release,CL#95581
Condition,Value,Description
SpawnCount,TRUE,Spawn Count <= 6
FramerateMinimum,FALSE,Minimum Framerate > 25: num frames below: 210
FramerateAverage,TRUE,Average Framerate >= 24: current avg: 59.22
Checkpoint,TRUE,Checkpoint is present/functional
SpawnFailed,TRUE,Spawn Failed
SpawnFailedLOS,TRUE,Spawn Failed (LOS)
