PC,Release,CL#95581
Condition,Value,Description
SpawnCount,TRUE,Spawn Count <= 6
FramerateMinimum,UNTESTED,Minimum Framerate > 25: num frames below: 9
FramerateAverage,UNTESTED,Average Framerate >= 24: current avg: 60.03
Checkpoint,FALSE,Checkpoint is present/functional
SpawnFailed,TRUE,Spawn Failed
SpawnFailedLOS,TRUE,Spawn Failed (LOS)
