PC,Release,CL#95581
Condition,Value,Description
SpawnCount,TRUE,Spawn Count <= 6
FramerateMinimum,FALSE,Minimum Framerate > 25: num frames below: 28
FramerateAverage,TRUE,Average Framerate >= 24: current avg: 59.66
Checkpoint,TRUE,Checkpoint is present/functional
SpawnFailed,TRUE,Spawn Failed
SpawnFailedLOS,TRUE,Spawn Failed (LOS)
